Incident,Reported,Occurred,Type,Location,Summary,Status
01952-2023,08/03/23 12:44 PM,December 2022  - August 2023,Stalking,Third North Hall,A student reported a stalking.,Closed/Referred to Title IX
2023-1617,08/03/23 05:20 AM,08/02/23 09:21 PM,Criminal Mischief,Starbucks on the Square,A Starbucks employee reported damage to property.,Open
2023-1615,08/02/23 10:35 AM,08/01/23 - 08/02/23,Criminal Mischief,Second Street Hall,A Campus Safety Officer reported graffiti.,Open
VSU021,08/01/23 01:06 PM,07/15/23 11:20 PM - 07/15/23 11:50 PM,Larceny,Mercer Street and West 4th Street,The NYPD reported a larceny.,Closed/Referred to NYPD
2023-1608,07/31/23 06:36 PM,07/27/23 - 07/31/23,Harassment,Founders Hall,A student reported a harassment.,Open
2023-1607,07/31/23 03:27 PM,05/18/23,Larceny,Madison Square Garden,A staff member reported missing equipment.,Open
2023-1605,07/30/23 11:25 PM,07/29/23 - 07/30/23,Criminal Mischief,Alumni Hall - exterior,A Campus Safety Officer reported graffiti.,Open
01884-2023,07/29/23 12:00 AM,07/28/23,Harassment,Founders Hall,A student reported a harassment.,Closed/Referred to Office of Student Conduct & Community Standards
2023-1596,07/29/23 08:50 AM,07/29/23 08:50 AM,Criminal Mischief,Second Street Residence Hall,A Campus Safety Officer reported damaged property.,Open
01887-2023,07/28/23 11:55 PM,07/28/23 11:55 PM,Drug Law Violation,Lipton Hall,A Campus Security Officer reported underage marijuana possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-1592,07/28/23 10:08 PM,07/28/23 10:08 PM,Harassment,Mercer Street (between Bleecker and Houston),A student reported an attempted harassment.,Open
2023-1587,07/28/23 12:14 PM,07/28/23 12:14 PM,Public Lewdness,Kimmel Center,A Campus Safety Officer reported a public lewdness.,Open
01883-2023,07/28/23 11:18 AM,07/28/23 11:18 AM,Criminal Mischief,Gramercy Green Hall,A staff member reported property damage.,Closed/Referred to Office of Student Conduct & Community Standards
01873-2023,07/24/23 01:57 PM,07/24/23 01:57 PM,Illegal Weapons Possession,Broome Street Hall,A staff member reported an illegal weapons possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-1573,07/26/23 03:59 PM,07/24/23 05:00 PM - 07/25/23 12:00 PM,Larceny,Basic Science,A student reported missing personal property.,Open
01866-2023,07/26/23 11:01 PM,07/26/23 10:35 PM,Robbery,Weinstein Hall exterior,Two students reported an attempted robbery.,Closed
01862-2023,07/26/23 11:34 PM,07/05/23 - 07/26/23,Larceny,Alumni Hall,A student reported missing personal property.,Open
2023-1585,07/27/23 06:00 PM,07/27/23 06:00 PM,Criminal Trespass,Paulson Center,A Campus Safety Officer reported a trespass.,Open
2023-1574,07/26/23 10:31 PM,07/26/23 10:31 PM,Harassment,Weinstein Hall - exterior,Two students reported a harassment.,Open
2023-1570,07/26/23 08:19 AM,07/26/23 08:19 AM,Drug Law Violation,Mercer Playground,A Campus Safety Officer reported illegal drug possession.,Open
2023-1566,07/25/23 04:05 PM,07/25/23 02:00 PM - 07/25/23 03:30 PM,Motor Vehicle Theft,12 Waverly Place,A student reported an electric scooter theft.,Open
2023-1563,07/25/23 11:00 AM,07/24/23 - 07/25/23,Criminal Mischief,725 Broadway,A Campus Safety Officer reported graffiti.,Open
2023-1561,07/25/23 08:50 AM,07/24/23 - 07/25/23,Criminal Mischief,Third North Hall - exterior,A Campus Safety Officer reported graffiti.,Open
2023-1555,07/23/23 05:00 PM,07/23/23 08:31 PM,Harassment,Washington Square Park,A student reported a harassment.,Open
2023-1550,07/22/23 05:47 PM,07/22/23 03:28 PM,Harassment,Founders Hall,A student reported a harassment.,Open
2023-1549,07/22/23 06:00 PM,07/22/23 06:00 PM,Public Lewdness,Paulson Center - exterior,A Campus Safety Officer reported a public lewdness.,Open
2023-1546,07/21/23 06:55 PM,07/21/23,Larceny,Othmer Hall,A student reported missing personal property.,Open
2023-1534,07/20/23 08:32 PM,07/20/23 08:32 PM,Criminal Trespass,20 Cooper Square,A Campus Safety Officer reported an attempted trespass.,Open
2023-1527,07/19/23 07:46 PM,07/19/23 07:46 PM,Criminal Trespass,Bobst Library,A Campus Safety Officer reported an attempted trespass.,Open
2023-1526,07/19/23 06:30 PM,07/19/23 06:30 PM,Arson / Menacing,Silver Center - exterior,A contractor reported an arson and menacing.,Open
2023-1525,07/19/23 05:48 PM,07/16/23 12:00 PM - 07/19/23 06:38 PM,Larceny,Coral Towers,A student reported missing personal property.,Open
2023-1524,07/19/23 03:48 PM,07/12/23 05:00 PM - 07/14/23 09:00 AM,Larceny,40 West 4th Street,A staff member reported a larceny.,Open
2023-1521,07/19/23 11:04 AM,07/19/23 11:02 AM - 07/19/23 11:13 AM,Criminal Mischief,113 2nd Ave,A Campus Safety Officer reported graffiti.,Open
2023-1518,07/19/23 06:00 AM,07/19/23 06:00 AM,Criminal Mischief,Alumni Hall,A Campus Security Officer reported damaged property.,Open
2023-1517,07/19/23 02:42 AM,07/19/23 02:35 AM,Simple Assault,Washington Square Park,A non-NYU affiliate reported a simple assault.,Open
2023-1510,07/18/23 02:28 PM,07/18/23 12:20 PM - 07/18/23 02:15 PM,Larceny,194 Mercer Avenue,A student reported missing personal property.,Closed
2023-1509,07/18/23 09:30 AM,07/18/23 09:30 AM,Criminal Mischief,Barney Building,A Campus Safety Officer reported graffiti.,Open
2023-1508,07/17/23 07:45 PM,07/15/23 05:30 PM - 07/17/23 07:45 PM,Motor Vehicle Theft,Tisch Bike Racks,A student reported an electric scooter theft.,Open
2023-1507,07/17/23 01:45 PM,07/17/23 01:45 PM,Disorderly Conduct,285 Mercer Street,A staff member reported a disorderly conduct.,Open
2023-1506,07/17/23 11:21 AM,07/12/23 05:30 AM - 07/12/23 07:00 AM,Criminal MIschief,Weinstein Hall,A contractor reported damaged property.,Open
2023-1505,07/17/23 09:02 AM,07/14/23 03:30 PM - 07/17/23 06:33 AM,Larceny,Paulson Center,A contractor reported missing equipment.,Open
2023-1499,07/16/23 07:41 PM,07/16/23 - 07/17/23,Criminal Mischief,Barney Building,A Campus Safety Officer reported a graffiti.,Closed
2023-1497,07/15/23 07:15 PM,07/14/23 08:00 PM - 07/15/23 01:00 PM,Larceny,Othmer Hall,A student reported missing personal property.,Open
2023-1482,07/13/23 04:33 PM,07/09/23 - 07/13/23,Harassment,Founders Hall,A summer student reported a harassment.,Open
2023-1477,07/13/23 10:08 AM,07/12/23 12:50 PM,Public Lewdness,Washington Square Village,A faculty member reported public lewdness.,Open
2023-1471,07/12/23 04:02 PM,07/12/23 02:20 PM,Harassment,Weinstein Hall,A contractor reported a harassment.,Open
2023-1468,07/12/23 10:00 AM,07/11/23 - 07/12/23,Criminal Mischief,Third North Hall,A campus security officer reported graffiti.,Open
2023-1465,07/11/23 10:37 PM,September 2022 to July 2023,Stalking,Third North Hall,A student reported a stalking.,Open
2023-1464,07/11/23 06:30 PM,07/11/23 01:38 PM - 07/11/23 06:00 PM,Larceny,Bobst Library - exterior,A staff member reported a theft from a vehicle.,Open
2023-1463,07/11/23 06:18 PM,07/11/23 06:18 PM,Criminal Trespass,725 Broadway,A campus safety officer reported a trespass.,Open
2023-1458,07/10/23 07:51 PM,07/05/23 12:00 PM - 07/05/23 01:00 PM,Larceny,Gramercy Green Hall,A summer resident reported missing personal property.,Open
VSU020,07/08/23 04:22 PM,07/07/23 02:30 AM,Simple Assault,20 Washington Square North - exterior,The NYPD reported an assault.,Closed/Referred to NYPD
2023-1453,07/08/23 06:55 AM,07/08/23 06:55 AM,Criminal Trespass,132 MacDougal,A campus safety officer reported a trespass.,Open
01642-2023,07/07/23 10:25 PM,07/07/23 10:25 PM,Liquor Law Violation,Paulson Center Residence Hall,An RA reported underage alcohol possession.,Open
2023-1444,07/07/23 07:41 PM,07/07/23 08:00 AM - 07/07/23 07:30 PM,Larceny,Palladium Hall,A student reported missing personal property.,Open
2023-1443,07/07/23 05:00 PM,07/07/23 10:30 AM - 07/07/23 01:00 PM,Larceny,726 Broadway,A staff member reported missing equipment.,Open
2023-1442,07/07/23 10:26 AM,06/30/23 04:00 PM - 07/07/23 09:00 AM,Criminal Mischief,Weissman Hall,A staff member reported damage to property.,Open
2023-1437,07/06/23 11:02 PM,07/06/23 08:20 PM - 07/06/23 10:40 PM,Larceny,Gramercy Green,A student reported missing personal property.,Open
2023-1435,07/06/23 12:25 PM,07/06/23 12:25 PM,Falsely Reporting A Crime,Founders Hall,A student reported a false crime report.,Open
2023-1434,07/06/23 01:15 PM,07/06/23 11:26 AM,Harassment,8th Street and Fifth Avenue,A student reported a harassment.,Open
VSU019,07/06/23 12:46 PM,07/03/23 07:48 PM,Robbery,19 West 4th Street - exterior,The NYPD reported a robbery.,Closed/Referred to NYPD
2023-1432,07/06/23 09:35 AM,07/06/23 09:35 AM,Disorderly Conduct,Schwartz Hall - Dental,A staff member reported a disorderly conduct.,Open
VSU018,07/04/23 12:55 AM,07/03/23 06:45 PM,Robbery,Paulson Center - exterior,The NYPD reported a robbery.,Closed/Referred to NYPD
VSU017,07/05/23 09:46 AM,06/27/23 02:00 PM - 06/28/23 09:00 AM,Motor Vehicle Theft,15 East 84th Street - exterior,The NYPD reported a motorcycle theft.,Closed/Referred to NYPD
2023-1425,07/05/23 10:10 AM,07/05/23 10:10 AM,Loitering,Kimmel Center,A campus safety officer reported a loitering.,Open
2023-1422,07/05/23 12:41 AM,07/05/23 12:41 AM,Harassment,Paulson Center (exterior),A student reported a harassment.,Open
2023-1412,07/03/23 01:34 AM,07/03/23 01:34 AM,Disorderly Conduct,Lafayette Hall,A campus safety officer reported a disorderly conduct.,Open
01586-2023,07/03/23 01:37 AM,07/03/23 01:37 AM,Disorderly Conduct,Lafayette Hall,A staff member reported a disorderly conduct.,Open
01580-2023,07/01/23 10:38 PM,07/01/23 12:00 AM,Criminal Mischief,Weinstein Hall,A staff member reported a criminal mischief.,Closed/Referred to Office of Student Conduct & Community Standards
2023-1404,07/01/23 08:00 PM,06/30/23 - 07/01/23,Larceny,Coral Towers,A summer associate reported missing personal property.,Open
2023-1403,07/01/23 03:00 PM,05/15/23 - 07/01/23,Larceny,Meyer Hall,A staff member reported a bike theft.,Open
2023-1396,07/01/23 12:54 AM,07/01/23 10:50 PM,Harassment & Simple Assault,Weinstein - exterior,A student reported a harassment. This was updgrated to Simple Assault on 8.10.23,Open
2023-1397,06/30/23 11:56 PM,06/30/23 11:56 PM,Falsely Reporting a Crime,Weinstein Hall,The FDNY reported a false alarm pull.,Open
01536-2023,06/28/23 01:50 PM,06/28/23 01:50 PM,Drug Law Violation,Paulson Center Residence Hall,A staff member reported underage marijuana possession.,Closed/Referred to Office of Student Conduct & Community Standards
01534-2023,06/28/23 09:35 AM,08/31/21 - 09/23/21,Stalking,Lafayette Hall,A staff member reported several accounts of sexual harassment and assault.,Closed/Referred to Title IX
01534-2023,06/28/23 09:35 AM,02/01/21 - 04/01/21,Fondling,Lafayette Hall,A staff member reported several accounts of sexual harassment and assault.,Closed/Referred to Title IX
01534-2023,06/28/23 09:35 AM,01/25/21 12:00 AM,Sexual Abuse,Lafayette Hall,A staff member reported several accounts of sexual harassment and assault.,Closed/Referred to Title IX
01534-2023,06/28/23 09:35 AM,08/31/20 12:00 AM,Fondling,Lafayette Hall,A staff member reported several accounts of sexual harassment and assault.,Closed/Referred to Title IX
2023-1382,06/28/23 07:35 PM,06/28/23 07:35 PM,Harassment,Brittany Hall,Two students reported a harassment.,Open
01523-2023,06/27/23 03:14 PM,06/27/23 03:14 PM,Liquor Law Violation,Paulson Center Residence Hall,A staff member reported underage alcohol possession.,Open
2023-1380,06/28/23 03:02 PM,06/28/23 03:00 PM,Harassment,Dental Center,A staff member reported a harassment.,Open
2023-1379,06/27/23 02:49 PM,05/17/23 04:00 PM - 06/27/23 02:49 PM,Harassment,726 Broadway,A staff member reported a harassment.,Open
2023-1378,06/27/23 01:00 PM,05/27/23 - 06/27/23,Harassment,Bobst Library,A staff member reported a harassment.,Open
INC-2023-06-01399,06/27/23 01:23 AM,06/26/23 02:00 PM - 06/27/23 12:20 AM,Larceny,Greenberg Hall,A visitor reported a bike theft.,Closed
2023-1375,06/27/23 07:41 AM,06/27/23 07:08 AM,Harassment,Palladium Hall,A student reported a harassment.,Open
INC-2023-06-01380,06/26/23 06:41 PM,06/26/23 05:28 PM - 06/26/23 06:00 PM,Harassment,Tisch Hospital,A staff member reported a harassment.,Closed
2023-1376,06/26/23 09:14 AM,06/26/23 11:00 AM - 06/27/23 08:30 AM,Larceny,Schwartz Hall,A student reported missing property.,Open
2023-1370,06/26/23 05:55 PM,06/26/23 05:55 PM,Criminal Trespass,Kimmel Center,A campus security officer reported a trespass.,Open
VSU016,06/26/23 03:52 PM,06/25/23 09:00 PM,Simple Assault / Larceny,West 3rd Street and Thompson Street,The NYPD reported an assault and theft.,Closed/Referred to NYPD
01512-2023,06/26/23 02:06 PM,06/26/23 02:06 PM,Liquor Law Violation,Coral Tower Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-1369,06/26/23 05:32 PM,06/26/23 04:55 PM - 06/26/23 05:00 PM,Harassment,Broadway and West 4th Street,Two students reported a harassment.,Open
2023-1367,06/26/23 12:49 PM,03/08/23 12:00 PM - 06/22/23 04:50 PM,Larceny / Embezzlement,726 Broadway,A staff member reported an embezzlement.,Open
2023-1362,06/25/23 05:56 PM,06/25/23 05:56 PM,Criminal Trespass,Tisch Bike Rack,A campus safety officer reported a trespass.,Open
2023-1352,06/24/23 04:49 PM,06/24/23 04:49 PM,Criminal Trespass,Bobst Library,A campus safety officer reported an attempted criminal trespass.,Open
01477-2023,06/22/23 11:40 PM,06/22/23 11:40 PM,Liquor Law Violation,Founders Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
VSU015,06/21/23 05:09 PM,06/21/23 04:20 PM,Murder / Non-Negligent Homicide,Washington Square Park,The NYPD reported a murder in Washington Square Park. No NYU affiliates were involved.,Closed/Referred to NYPD
2023-1334,06/21/23 03:00 PM,06/12/23 12:00 AM,Fraud / Larceny,Bobst Library,A student reported a fraud and theft.,Open
2023-1333,06/21/23 01:06 PM,06/16/23 02:00 PM - 06/20/23 04:30 PM,Larceny,Bobst Library,A staff member reported missing personal property.,Open
2023-1332,06/21/23 11:40 AM,06/21/23 11:15 AM,Larceny,Washington Square Park,A student reported a theft.,Open
2023-1321,06/18/23 01:29 PM,06/18/23 01:29 PM,Criminal Trespass,Founders Hall,A campus safety officer reported an attempted trespass.,Open
2023-1320,06/18/23 01:04 PM,06/17/23 - 06/18/23,Criminal Mischief,111 Second Avenue - exterior,A campus safety officer reported graffiti.,Open
2023-1319,06/18/23 07:15 AM,06/17/23 - 06/18/23,Criminal Mischief,Paulson Center - exterior,A campus safety officer reported graffiti.,Open
2023-1314,06/17/23 12:03 AM,06/16/23 04:55 AM,Larceny,Carlyle Court,A campus safety officer reported a theft.,Open
2023-1312,06/15/23 09:10 PM,06/15/23 12:00 AM - 06/15/23 09:10 PM,Larceny,Rogers Hall,A contractor reported missing equipment.,Open
2023-1306,06/15/23 10:13 AM,06/15/23 10:13 AM,Criminal Trespass,Bobst Library,Students reported a criminal trespass.,Closed
VSU014,06/14/23 11:32 AM,06/12/23 08:10 PM - 06/13/23 01:30 AM,Larceny,"LaGuardia Place, between Washington Square South and West 3rd",The NYPD reported a theft from a vehicle.,Closed/Referred to NYPD
01418-2023,06/13/23 08:15 PM,06/13/23 07:30 PM - 06/13/23 08:15 PM,Criminal Trespass,Lafayette Hall,An RA reported a criminal trespass.,Closed/Referred to Office of Student Conduct & Community Standards
01416-2023,06/14/23 09:35 AM,06/13/23 - 06/14/23,Larceny,Palladium Hall,A staff member reported missing furniture.,Closed/Referred to Office of Student Conduct & Community Standards
2023-1302,06/14/23 04:57 PM,06/12/23 05:30 PM - 06/12/23 08:00 PM,Motor Vehicle Theft,Tisch Bike Racks,A student reported a stolen electric bike.,Open
2023-1301,06/14/23 03:48 PM,06/14/23 03:48 PM,Drug Law Violation,Palladium Hall,An RA reported underage marijuana possession.,Open
2023-1299,06/14/23 01:32 PM,12/01/22 12:00 AM,Criminal Trespass / Harassment,Basic Science,A staff member reported a criminal trespass. Further investigation resulted in an additional harassment incident.,Closed
2023-1294,06/13/23 07:07 AM,06/12/23 - 06/13/23,Criminal Mischief,Barney Building,A Campus Safety Officer reported graffiti.,Open
2023-1293,06/13/23 12:08 AM,06/13/23 12:08 AM,Criminal Trespass,Brittany Hall,A summer associate reported an attempted criminal trespass.,Open
2023-1291,06/12/23 03:50 PM,06/12/23 04:28 PM,Harassment,Schwartz Hall,A staff member reported a harassment.,Open
BOOK020,06/13/23 05:50 PM,06/13/23 05:50 PM,Larceny,NYU Bookstore,A Bookstore staff member reported a retail theft.,Closed
2023-1279,06/09/23 09:09 PM,06/09/23 09:09 PM,Criminal Mischief,Third North Hall,A campus safety officer reported a criminal mischief.,Open
C.0007823,06/09/23,01/22/20  - 06/06/23,Stalking,238 Thompson Street,A student reported a stalking.,Closed/Referred to Title IX
2023-1270,06/08/23 12:40 PM,06/07/23 10:00 AM,Larceny,Schwartz Plaza,A Campus Safety Sergeant reported missing personal property.,Open
2023-1267,06/07/23 03:56 PM,06/07/23 03:56 PM,Criminal Trespass,Tisch Hall,A staff member reported an attempted trespass.,Open
2023-1266,06/07/23 01:30 PM,06/07/23 01:30 PM,Criminal Trespass,Gramercy Green,A staff member reported a trespass.,Closed/Referred to Office of Student Conduct & Community Standards
2023-1260,06/06/23 07:30 AM,06/05/23 05:30 PM - 06/06/23 07:30 AM,Larceny,411 Lafayette Street,A staff member reported missing equipment.,Open
2023-1258,06/06/23 03:50 PM,06/06/23 03:50 PM,Criminal Trespass,Dental Center Parking Garage,A campus safety officer reported a trespass.,Open
2023-1255,06/06/23 11:43 AM,06/05/23 - 06/06/23,Criminal Mischief,244 Green Street - exterior,A staff member reported graffiti.,Open
BOOK019,06/05/23 04:00 PM,06/05/23 03:50 PM,Larceny,NYU Bookstore,A Bookstore staff member reported a retail theft.,Closed
